index,theta,x,y,sin,cos
0,-159.83,4.54,-1.16,0.3448067579,0.9386736918
1,-159.85,4.94,-0.98,0.344479078,0.9387939949
2,-159.33,5.27,-1.08,0.352984998,0.9356289816
3,-160.22,5.53,-1.1,0.3384094703,0.9409989535
4,-155.04,5.67,-0.62,0.4219854366,0.9066026094
5,-172.28,4.84,-0.62,0.1343320956,0.9909363693
6,-160.85,5.19,-0.61,0.3280423978,0.9446630009
7,-174.08,4.52,-0.65,0.1031397473,0.9946668752
8,176.56,4.35,-0.38,-0.0600032619,0.998198181
9,175.38,4.76,-0.35,-0.0805468609,0.996750823
10,163.89,5.1,-0.36,-0.2774823367,0.960730739
11,179.61,5.48,-0.21,-0.0068067315,0.9999768339
12,144.48,5.52,0.21,-0.5809871003,0.8139127652
13,115.8,4.54,0.19,-0.9003187714,0.4352310994
14,109.61,4.39,-0.06,-0.9419988911,0.3356159847
15,89.9,5.15,-3.23,-0.9999984769,-0.0017453284
16,109.73,5.05,-2.77,-0.9412939131,0.337588165
17,104.43,4.72,-2.17,-0.9684528146,0.249197002
18,128.38,4.46,-3.23,-0.7839102311,0.6208741818
19,148.28,4.16,-3.34,-0.5257686082,0.8506276334
20,141.8,3.86,-2.65,-0.6184083954,0.7858568932
21,161.43,3.68,-3.48,-0.3184630152,0.9479352868
22,150.21,3.06,-3.24,-0.4968224998,0.8678521785
23,142,2.87,-2.66,-0.6156614753,0.7880107536
24,152.44,2.79,-3.3,-0.4626772355,0.8865268049
25,153.56,3.11,-3.38,-0.4452603956,0.8954011281
26,173.32,2.83,-3.92,-0.116324048,0.9932113148
27,170.68,3.28,-3.97,-0.1619482889,0.9867992459
28,-178.1,3.57,-4.4,0.0331551784,0.9994502159
29,-168.97,2.81,-4.3,0.191322948,0.9815271415
30,112.03,0.46,-3.02,-0.9269875839,0.3750920144
31,108.98,0.29,-2.41,-0.9456321627,0.3252380864
32,110.62,0.3,-3.13,-0.9359366628,0.3521683734
33,107.59,0.06,-2.61,-0.9532434268,0.302203523
34,124.03,0,-3.25,-0.8287446662,0.5596269099
35,145.43,-0.34,-3.39,-0.567412674,0.823433578
36,123.92,-0.31,-2.94,-0.8298175448,0.5580348039
37,122.79,-0.41,-2.42,-0.8406611366,0.5415614955
38,119.64,-0.8,-2.3,-0.8691498812,0.4945487681
39,145.21,-1.35,-3.31,-0.5705702414,0.8212488049
40,166.02,-1.89,-3.9,-0.2415831838,0.9703801138
41,176.74,-1.77,-4.39,-0.0568670389,0.9983817606
42,179.41,-1.58,-4.86,-0.0102972606,0.9999469818
43,-160,-1.21,-4.91,0.3420201433,0.9396926208
44,-164.89,-1.44,-4.67,0.2606730114,0.9654271496
45,-10.48,-4.18,-5.12,0.1818922937,-0.9833184599
46,-4.63,-4.13,-4.69,0.0807208255,-0.9967367498
47,14.16,-4.22,-4.26,-0.2446305256,-0.9696163705
48,21.52,-4.31,-4,-0.3668259814,-0.9302895782
49,22.78,-4.48,-3.94,-0.3871937719,-0.9219983639
50,2.51,-4.54,-4.51,-0.0437937535,-0.9990405933
51,-16.2,-4.58,-4.77,0.278991106,-0.9602936857
52,-29,-4.58,-5.07,0.4848096202,-0.8746197071
53,-36.01,-4.8,-5.19,0.5879264434,-0.8089143942
54,-40.44,-5.04,-5.22,0.6486513971,-0.7610856489
55,-50.7,-5.09,-4.95,0.7738402097,-0.6333808726
56,-14.74,-4.95,-4.58,0.254433163,-0.9670903606
57,27.28,-5,-4.44,-0.4583393406,-0.8887772774
58,37.12,-4.94,-4.06,-0.6034863603,-0.7973733209
59,52.71,-5.08,-3.8,-0.7955792337,-0.6058495547
60,-32.06,-4.52,-3.01,0.5308070474,-0.8474927011
61,-15.62,-4.46,-2.71,0.2692560114,-0.9630686374
62,-5.44,-4.5,-2.49,0.0948033237,-0.995496022
63,7.04,-4.53,-2.23,-0.1225622416,-0.9924608289
64,21.31,-4.67,-1.91,-0.3634138357,-0.9316278141
