1.186219155616001081e-01,6.568199666596020829e-03,6.230570933234729630e-02,6.388290199673193892e-02,4.525571409724206684e-01,6.147595482247613513e-02,1.143205843711654623e-01,1.202675932766627681e-01
6.150481980744321175e-02,1.197075925023177584e-01,1.739143730441181368e-01,1.185400140814328873e-01,2.287541229735317594e-01,1.747877386349906137e-01,1.169478009027106885e-01,5.843538053455324920e-03
7.349425342302798314e-02,1.943542020116135749e-01,1.342884693350938352e-01,6.747150821302419499e-02,3.241939528432273843e-01,6.866621300016539919e-02,1.317707950759407776e-01,5.760606097906389306e-03
3.262146573026072915e-02,3.754907318122779197e-02,3.904284898547962235e-01,3.720783961726874256e-02,3.490792463781270533e-02,3.995132825778766050e-01,2.902581031959685157e-02,3.874611408116072214e-02
9.341283433480261633e-02,9.292884002974537150e-02,4.071298804924931500e-03,1.771045977829578399e-01,2.247365283687834392e-01,1.818102287784008064e-01,1.336316242777229601e-01,9.230404762266219976e-02
1.765644050505379425e-01,1.172126362032040042e-01,1.752075134100618270e-01,1.204992212874425317e-01,1.137582176495559871e-01,5.921900610614753112e-03,1.182032912772454092e-01,1.726328145113371904e-01
2.211815879129694351e-01,1.142013494722956685e-01,5.152052045201106593e-03,2.171373094812099336e-01,2.706382606850478156e-01,1.099529279705442064e-01,5.667522327802187662e-03,5.606899010493006374e-02
8.325353692468984157e-02,9.125972474628681053e-02,8.666893485130656993e-02,8.640167065442425076e-02,4.695579379054816704e-01,8.777201760835164068e-02,8.601300897882294128e-02,9.073168330636377163e-03
1.038753649586737250e-02,2.127724415188078921e-01,1.105550302632460069e-01,9.096869199321285654e-03,4.224346565656598718e-01,1.148880075717578601e-02,1.126042518033144590e-01,1.106604133966077597e-01
4.862481266815778941e-02,4.958272663629683524e-02,1.430519088241081205e-01,4.765750125001319212e-03,2.767682801205485488e-01,9.604204182452009964e-02,9.845974100668775097e-02,2.827047387946795554e-01
