index,theta,x,y,sin,cos
0,-162.39,3.64,1.59,0.3025362493,0.9531378798
1,118.87,3.53,2.07,-0.875717453,0.4828239249
2,118.02,3.67,2.22,-0.8827836626,0.469779741
3,62.21,4.18,2.14,-0.8846623616,-0.4662322447
4,110.6,4.19,1.84,-0.9360595357,0.3518416484
5,127.29,4.19,1.61,-0.7955792337,0.6058495547
6,143.35,4.22,1.5,-0.5969252383,0.8022968652
7,104.65,4.54,1.5,-0.96748883,0.2529137477
8,-98.92,4.75,1.44,0.9879058015,0.1550552399
9,-84.55,4.75,1.73,0.9954794605,-0.0949770691
10,71.42,4.47,1.92,-0.9478796901,-0.3186284563
11,92.14,4.29,1.81,-0.9993025681,0.0373413626
12,166.28,3.75,1.81,-0.2371772662,0.9714663887
13,88.32,4.52,1.58,-0.9995701547,-0.0293173301
14,90.56,4.21,1.69,-0.9999522364,0.0097736882
15,-102.26,4.76,3.52,0.9771940596,0.2123482279
16,-90.78,4.81,3.68,0.9999073368,0.0136131477
17,-74.69,4.85,3.85,0.9645113492,-0.264041393
18,-71.17,4.78,3.98,0.9464803924,-0.3227613154
19,-67.6,4.5,3.99,0.9245460336,-0.3810703764
20,-89.31,4.56,3.64,0.9999274867,-0.0120424808
21,-96.15,4.44,3.43,0.9942448326,0.1071317543
22,-115.62,4.26,3.26,0.9016816451,0.4324005214
23,-141.44,3.81,3.33,0.6233338405,0.7819558321
24,-125.93,3.9,3.62,0.8097345056,0.5867964131
25,-99,4.04,4.04,0.9876883406,0.156434465
26,-156.79,3.96,3.89,0.394102323,0.9190665694
27,-164.84,3.71,3.97,0.2615154062,0.9651993019
28,-151.63,3.6,3.57,0.475163561,0.8798974885
29,-151.03,3.58,3.33,0.484351604,0.874873433
30,-84.21,2.81,3.91,0.9948983313,-0.1008826562
31,-70.97,2.78,4.02,0.9453479789,-0.3260631822
32,-83.5,-2.61,4.05,0.9935718557,-0.1132032138
33,-104.03,2.31,4,0.9701689233,0.2424299081
34,-137.29,2,4.06,0.6782879263,0.7347962228
35,-169.97,1.77,4.09,0.174163798,0.984716696
36,-136.14,1.9,3.81,0.6928986198,0.7210350218
37,-117.81,2.04,3.79,0.8844995619,0.4665410217
