index,theta,x,y,sin,cos
0,109.16,4.37,-3.24,-0.9446057323,0.3282072676
1,109.22,4.6,-3.7,-0.9442615166,0.3291962762
2,109.88,4.48,-3.95,-0.9404068846,0.340051307
3,112.17,4.72,-4.03,-0.9260682949,0.3773559503
4,102.54,1.85,-3.75,-0.9761446659,0.2171211443
5,97.99,4.9,-3.55,-0.9902923439,0.1390002645
6,-174.26,4.84,-3.29,0.1000144053,0.9949859892
7,113.02,4.81,-3.12,-0.9203684065,0.3910524215
8,94.11,5.19,-3.1,-0.9974282891,0.0716715295
9,68.38,5.46,-3.33,-0.9296479295,-0.3684490835
10,70.19,5.44,-3.73,-0.9408216337,-0.3389021298
11,66.32,5.57,-3.96,-0.9158028438,-0.4016281256
12,92.74,5.59,-4.11,-0.998856745,0.0478037959
13,-155.1,4.73,-3.77,0.4210358134,0.9070440143
14,-164.76,4.61,-3.22,0.2628628233,0.9648332167
15,-74.77,5.68,-2.06,0.9648790803,-0.2626944241
16,-85.62,5.72,-1.93,0.9970794715,-0.0763709864
17,-70.66,5.76,-1.6,0.943569979,-0.3311732095
18,-67.69,5.73,-1.43,0.9251434767,-0.3796176333
19,-66.9,5.79,-1.51,0.9198214973,-0.3923371166
20,-98.32,5.5,-1.45,0.989475339,0.1447016019
21,-100.02,5.51,-1.65,0.9847470784,0.1739919298
22,-89.07,5.6,-1.86,0.9998682711,-0.0162308493
23,-92.46,5.48,-1.95,0.9990784302,0.0429219096
24,-92.44,5.5,-2.14,0.9990933519,0.0425731628
25,-97.03,5.29,-2.17,0.9924822049,0.1223890226
26,-116.52,5.15,-2.18,0.8947785547,0.4465101769
27,-104.46,5.1,-1.96,0.9683222027,0.2497040485
28,-99.28,5.18,-1.76,0.9869120667,0.1612593336
29,-112.44,5.21,-1.52,0.924279771,0.3817157383
30,-72.54,4.69,-0.34,0.9539266506,-0.3000399062
31,-133.62,4.19,-0.07,0.7239310947,0.6898722854
32,-82.32,3.56,0.09,0.9910299093,-0.1336402589
33,-152.6,3.06,0.32,0.4601997848,0.8878153851
34,-128.49,3.03,0.96,0.7827167942,0.6223780363
35,-158.23,3.04,1.54,0.3708816306,0.9286801473
36,168.12,3.42,1.1,-0.2058626088,0.9785809043
37,-164.48,3.77,0.67,0.2675747303,0.9635371107
38,-58.17,4.32,0.6,0.8496166631,-0.527400726
39,-136.08,4.81,0.9,0.6936533058,0.7203090249
40,157.96,4.89,1.43,-0.3752537985,0.9269221039
41,142.42,4.28,0.4,-0.6098685655,0.7925025759
42,168.94,4.74,1.19,-0.1918368481,0.9814268305
43,-141.17,3.7,1.05,0.6270117859,0.7790097691
44,154.92,4.1,1.61,-0.4238832938,0.9057168174
45,12.56,4.64,2.95,-0.2174618699,-0.9760688168
46,13.15,5.08,2.99,-0.2275011754,-0.9737778059
47,13.77,5.26,3.12,-0.2380249402,-0.9712590426
48,53.51,5.07,3.55,-0.8039606645,-0.5946824782
49,32.92,4.67,3.53,-0.5434674995,-0.8394302097
50,55.92,4.48,4.05,-0.8282559841,-0.5603499128
51,66.31,5.11,4.41,-0.9157327325,-0.4017879573
52,93.5,4.65,5.3,-0.9981347984,0.0610485395
53,111.3,4,5.41,-0.9316912276,0.3632512305
54,99.99,4.15,4.8,-0.9848380453,0.1734762936
55,98.39,3.94,4.43,-0.9892978142,0.1459103657
56,116.27,3.35,4.56,-0.896718299,0.4426017309
57,130.09,3.41,5.2,-0.76503381,0.643990116
