index,theta,x,y,sin,cos
58,109.6,3.89,4.91,-0.9420574528,0.3354515698
59,129.87,3.53,5.72,-0.7675009089,0.6410478569
60,-33.65,-0.49,3.95,0.5541181993,-0.8324379984
61,98.78,-0.19,3.47,-0.9882817234,0.1526408702
62,3.69,0.51,3.41,-0.0643581381,-0.9979268661
63,0.38,0.01,3.95,-0.0066322025,-0.9999780067
64,142.29,-0.93,3.89,-0.6116651254,0.7911167893
65,179.07,-1.38,3.75,-0.0162308493,0.9998682711
66,-51.98,-1.44,3.31,0.7877957992,-0.6159365055
67,-80.55,-0.83,3.41,0.9864292572,-0.1641868466
68,-0.23,0.03,5.11,0.0040142465,-0.9999919429
69,138.54,-0.03,5.47,-0.6620970171,0.7494181343
70,151.79,-0.44,5.62,-0.4727045741,0.881220963
71,-173.74,-0.97,5.7,0.1090403688,0.9940373222
72,164.6,-1.24,5.75,-0.2655561175,0.9640954042
73,-64.98,-1.22,5.21,0.9061602102,-0.4229345971
74,-39.64,-0.74,5.21,0.6379617541,-0.7700680491
75,53.16,-3.57,5.69,-0.8003129785,-0.5995824684
76,47.4,-2.92,5.55,-0.7360970871,-0.6768759697
77,22.75,-2.99,5.03,-0.3867109616,-0.9222009717
78,29.02,-2.42,4.95,-0.4851148906,-0.8744504234
79,28,-2.39,4.43,-0.4694715628,-0.8829475929
80,7.96,-3.11,4.27,-0.1384817296,-0.9903649886
81,28,-3.3,5.13,-0.4694715628,-0.8829475929
82,15.96,-3.66,5.03,-0.2749662014,-0.9614538928
83,-12.68,-3.74,4.59,0.2195056652,-0.9756112253
84,-27.05,-3.9,3.87,0.4547678766,-0.8906100035
85,7.33,-3.4,3.52,-0.1275839459,-0.9918277758
86,-12.71,-3.28,3.15,0.2200164639,-0.9754961587
87,-24.18,-4.41,3.55,0.4096046189,-0.9122631507
88,-47.12,-5.13,3.73,0.7327804706,-0.6804651218
89,-59.19,-5.4,3.35,0.8588705155,-0.5121927739
90,177.32,-1.13,0.15,-0.0467577695,0.9989062574
91,176.38,-0.97,-0.2,-0.0631388927,0.9980047496
92,-144.43,-0.98,-0.57,0.5816971518,0.8134054484
93,-143.77,-1.39,-0.64,0.5910281101,0.8066509611
94,-78.65,-1.05,-1.46,0.9804432899,-0.1968018172
95,-62.62,-1.19,-1.77,0.8879759711,-0.4598898507
96,-90.63,-0.89,-1.77,0.9999395493,0.0109953527
97,-75.69,-0.64,-1.76,0.9689726072,-0.2471681341
98,-12.03,-0.3,-1.72,0.2084238192,-0.9780386043
99,-73.29,-0.1,-1.62,0.9577723264,-0.287527687
100,13.89,0.23,-1.48,-0.2400586168,-0.9707583945
101,-2.68,0.52,-1.49,0.0467577695,-0.9989062574
102,29.47,0.7,-1.2,-0.4919677754,-0.870613409
103,36.98,0.75,-0.81,-0.6015362101,-0.7988455345
104,58.28,0.75,-0.26,-0.8506276334,-0.5257686082
105,113.01,-3.32,-2.1,-0.920436644,0.3908917809
106,129.08,-4.35,-2.37,-0.7762665072,0.6304048777
107,137.7,-5.11,-2.5,-0.6730125135,0.739631095
108,140.73,-5.2,-3.27,-0.632975604,0.7741717411
109,127.8,-4.58,-3.41,-0.7901550124,0.6129070537
110,108.48,-4.18,-3.65,-0.9484343576,0.3169736097
111,86.32,-3.69,-3.88,-0.9979380835,-0.0641839661
112,79.61,-3.45,-4.66,-0.9836029624,-0.1803474769
113,57.25,-2.87,-4.77,-0.841039013,-0.5409744714
114,55.54,-2.1,-4.68,-0.8245214139,-0.5658307503
115,42.43,-2.59,-5.18,-0.6746889494,-0.7381021755
116,51.59,-3.34,-5.3,-0.7835850347,-0.6212845511
117,23.55,-3.51,-5.54,-0.3995492029,-0.916711751
118,29.84,-3,-5.76,-0.4975796544,-0.8674182887
119,21.21,-2.09,-6.02,-0.3617872858,-0.9322606716
120,150.61,0.72,-4.59,-0.4907516906,0.8712994767
121,163.85,0.73,-4.93,-0.2781529856,0.9605367857
122,-179.44,0.66,-5.23,0.0097736882,0.9999522364
123,-162.15,0.86,-5.45,0.3065260781,0.9518622608
124,157.26,1.1,-5.14,-0.3865500013,0.9222684514
125,137.26,1.13,-4.79,-0.6786725717,0.7344409713
126,123.56,1.34,-4.73,-0.8333073779,0.5528099257
127,123.04,1.57,-4.61,-0.8382901338,0.5452244048
128,115.66,1.69,-4.83,-0.9013795529,0.4330299085
129,104.82,1.95,-4.74,-0.9667341623,0.2557832274
130,99.17,2.01,-5.03,-0.9872198433,0.1593643025
131,94.63,2.01,-5.28,-0.9967367498,0.0807208255
132,117.06,1.84,-5.02,-0.890530618,0.4549233105
133,139.51,1.62,-4.95,-0.6493153226,0.7605193041
134,149.9,1.45,-5.01,-0.5015107372,0.8651514206
135,178.79,2.85,-5.38,-0.0211169142,0.9997770131
136,164.53,2.86,-5.1,-0.2667337837,0.9637702468
137,160.55,2.85,-4.89,-0.3329841223,0.9429324336
138,144.62,3.04,-4.75,-0.5789966038,0.8153299533
139,149.83,3.08,-4.99,-0.5025673445,0.8645380641
140,143.03,3.16,-5.33,-0.6013967761,0.7989505102
141,120.24,3.54,-5.22,-0.8639234172,0.5036232016
142,124.87,3.7,-4.94,-0.8204513383,0.5717163645
143,128.92,3.67,-4.79,-0.7780239007,0.6282346775
144,138.18,3.51,-4.59,-0.6667926499,0.7452432905
145,117.59,3.62,-4.54,-0.8862844261,0.4631413564
146,145.74,3.25,-4.72,-0.5629491862,0.8264915085
147,148.66,3.12,-4.88,-0.52011551,0.8540959292
148,144.18,3.09,-5.14,-0.585240754,0.8108595808
149,158.55,3,-4.95,-0.3656891448,0.9307370463
