24,0,7,5,2,3,10,45,24,3,9,4,5,6,16,30,24,0,9,3,7,6,8,40
24,0,7,5,2,3,10,45,24,3,9,4,5,6,16,30,24,0,9,3,7,6,8,39
24,0,7,5,2,3,10,45,24,3,9,4,5,6,16,30,24,0,9,3,7,6,8,39
24,0,7,5,2,3,10,45,24,4,9,4,5,6,15,30,24,0,9,3,7,6,8,39
24,0,7,5,2,3,10,45,24,4,8,4,5,6,15,30,24,0,9,3,7,6,8,39
24,0,8,5,2,3,11,45,24,4,8,4,6,6,15,30,24,0,9,3,7,6,8,39
24,0,8,5,2,3,11,45,24,4,8,4,6,6,15,30,24,0,9,3,7,6,8,39
24,0,8,5,2,3,11,45,24,4,8,4,6,6,15,30,24,0,9,3,7,6,8,39
24,0,8,5,2,3,11,45,24,4,8,4,6,6,15,29,24,0,9,3,8,6,8,39
24,0,7,5,2,3,11,45,24,4,8,4,6,6,15,29,24,0,9,3,8,6,8,39
24,0,6,5,2,3,11,45,24,3,8,4,6,6,17,29,24,0,8,3,8,6,8,40
24,0,6,5,2,3,11,45,24,3,8,4,6,6,17,29,24,0,8,3,8,6,8,40
24,0,7,5,2,3,11,45,24,3,8,4,6,6,17,29,24,0,8,3,8,6,8,40
24,0,5,5,2,3,12,46,24,3,7,5,6,6,18,29,24,0,7,3,8,6,9,40
24,0,5,5,2,3,12,46,24,2,7,5,6,6,17,29,24,0,7,3,8,6,8,40
24,0,4,5,2,3,12,47,24,2,6,5,6,6,18,30,24,0,5,4,8,6,8,42
24,0,4,5,2,3,12,47,24,2,6,5,6,6,18,30,24,0,5,4,8,6,8,42
24,0,4,5,2,3,12,47,24,2,6,5,6,6,18,30,24,0,5,4,8,6,8,42
24,0,3,5,2,3,12,48,24,1,6,5,6,6,18,30,24,0,4,4,8,6,8,43
24,0,3,5,2,3,12,48,24,1,6,5,6,6,18,30,24,0,4,4,8,6,8,43
24,0,2,5,3,2,12,48,24,0,6,5,6,6,19,31,24,0,3,4,9,6,7,44
24,0,2,5,3,2,12,48,24,0,6,5,6,6,19,31,24,0,3,4,9,6,7,44
24,0,2,5,3,3,12,48,24,0,6,5,6,6,18,31,24,0,3,4,8,6,7,44
24,0,2,5,3,2,11,49,24,0,6,6,6,5,19,32,24,0,2,4,8,6,7,45
24,0,2,5,3,2,11,49,24,0,6,6,6,5,19,32,24,0,2,4,8,6,7,45
24,0,2,5,3,2,12,49,24,0,6,6,6,5,18,32,24,0,2,4,8,6,7,45
24,0,2,5,3,2,12,49,24,0,6,6,6,5,18,32,24,0,2,4,8,6,7,45
24,0,2,5,3,2,12,49,24,0,6,6,6,5,18,32,24,0,2,4,8,6,7,45
24,0,2,5,4,2,12,48,24,0,5,6,6,5,18,32,24,0,1,5,9,7,7,45
24,0,2,5,4,2,12,48,24,0,5,7,6,5,18,32,24,0,1,4,9,7,7,45
24,0,1,5,4,2,12,48,24,0,5,7,7,5,18,32,24,0,2,4,9,6,7,45
24,0,1,5,4,3,12,48,24,0,5,7,7,5,18,32,24,0,2,4,9,6,7,45
24,0,1,5,3,2,12,48,24,0,5,7,7,5,18,32,24,0,2,4,9,6,7,44
24,0,2,4,3,3,12,48,24,0,5,6,7,5,18,31,24,0,3,4,9,6,7,44
24,0,2,4,3,3,12,48,24,0,5,6,7,5,18,31,24,0,3,4,9,6,8,43
24,0,3,4,3,3,13,47,24,1,4,6,8,6,17,30,24,0,4,4,9,6,8,42
24,0,3,4,3,3,13,47,24,1,4,6,8,6,17,30,24,0,4,4,9,6,8,42
24,0,3,3,3,3,13,47,24,1,4,6,8,6,17,30,24,0,4,4,9,6,8,42
24,0,4,2,2,4,15,46,24,2,4,5,9,7,17,29,24,0,5,4,9,7,8,40
24,0,4,2,2,4,15,46,24,2,4,5,9,7,17,29,24,0,5,4,9,7,8,40
24,0,2,3,3,4,16,46,24,0,4,6,9,7,17,29,24,0,3,4,10,7,7,41
24,0,2,3,3,4,16,46,24,0,4,6,9,7,17,29,24,0,3,4,10,7,7,41
24,0,2,3,3,4,16,46,24,0,4,6,9,7,17,29,24,0,3,4,10,7,7,41
24,0,1,2,3,4,15,47,24,0,3,6,10,6,17,30,24,0,2,4,10,7,7,42
24,0,1,2,3,4,15,47,24,0,3,6,10,6,17,30,24,0,2,4,10,7,7,42
24,0,1,3,4,4,14,47,24,0,3,7,9,6,16,31,24,0,2,4,10,6,7,43
24,0,1,3,4,5,14,47,24,0,3,7,9,6,15,32,24,0,2,4,11,6,10,40
24,0,1,3,4,5,14,47,24,0,3,7,9,6,16,31,24,0,2,4,11,6,7,43
24,0,1,3,6,7,18,39,24,0,2,11,13,7,12,28,24,0,2,6,14,7,9,34
24,0,1,2,6,6,19,39,24,0,2,11,13,7,12,28,24,0,2,6,14,8,8,36
24,0,0,3,5,8,23,34,24,0,2,11,14,9,11,26,24,0,1,8,16,8,9,31
24,0,0,3,5,7,23,34,24,0,2,11,14,9,11,26,24,0,1,7,16,9,8,31
24,0,0,3,5,7,23,34,24,0,2,11,14,9,11,26,24,0,1,7,16,9,8,32
