index,theta,x,y,sin,cos
0,114.66,5.27,0.74,-0.9087996824,0.4172327137
1,129.35,5.39,0.4,-0.7732871861,0.6340559343
2,177.29,5.53,0.03,-0.0472807892,0.9988816381
3,-175.83,5.66,-0.11,0.0727159945,0.9973526879
4,-163.24,5.95,-0.08,0.2883633915,0.9575210465
5,-153.51,6.19,0,0.4460416108,0.8950122242
6,179.87,6.17,0.4,-0.0022689261,0.999997426
7,90.76,5.84,0.53,-0.9999120278,0.0132641133
8,-179.43,5.66,0.12,0.0099482126,0.9999505153
9,-177.37,5.82,0.33,0.0458860417,0.9989466809
10,155.69,5.85,0.73,-0.4116734222,0.9113314399
11,146.23,5.66,0.78,-0.5558604368,0.8312756311
12,172.9,5.57,0.51,-0.1236014767,0.9923319379
13,92.1,6.11,0.94,-0.9993283938,0.0366437087
14,-164.04,5.6,0.39,0.2749662014,0.9614538928
15,103.7,5.42,3.51,-0.97154912,0.2368381461
16,112.12,5.11,3.21,-0.9263972474,0.3765476597
17,108.29,5.07,3.62,-0.9494802652,0.3138267452
18,146.36,4.72,3.38,-0.5539729031,0.8325346976
19,144.88,4.31,3.48,-0.5752908051,0.8179489529
20,130.38,4.04,4.04,-0.7617644977,0.6478540346
21,142.36,3.55,4.1,-0.6106981377,0.7918634886
22,144.85,3.19,3.56,-0.5757190033,0.8176476192
23,157.43,3.5,3.43,-0.3838118783,0.9234113071
24,160.6,3.94,2.92,-0.3321611319,0.9432226579
25,175.58,4.11,2.51,-0.0770670605,0.9970259115
26,170.39,3.58,2.7,-0.1669408329,0.9859669154
27,166.94,3.22,2.93,-0.2259712888,0.9741339624
28,-172.06,3.7,2.08,0.1381360185,0.9904132675
29,-158.67,3.64,1.77,0.363739013,0.931500902
30,132.24,1.22,2.37,-0.7403354664,0.6722376048
31,145.51,1.08,2.18,-0.5662623911,0.8242250326
32,147.32,1.17,1.98,-0.5399465449,0.8416993101
33,174.88,1.03,1.77,-0.0892419754,0.9960099748
34,177.73,0.62,1.73,-0.0396086101,0.9992152711
35,179.99,0.47,1.75,-0.0001745329,0.9999999848
36,-164.48,0.59,1.56,0.2675747303,0.9635371107
37,-174.48,0.99,1.71,0.0961932055,0.9953626812
38,-156.99,0.78,1.31,0.3908917809,0.920436644
