time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,0.000661076503677166,0.002364131410052475,0,0.0,0.0,0.022183267372417884,0.9997539210469163,0.0,0.0,0.0,0,0,0.0
0,-0.0006633180249056569,0.0009185544046201926,0,0.0,0.0,0.021602353814526493,0.9997666419268408,0.0,0.0,0.0,0,0,0.0
0,-0.0023149673788215863,-0.0008986039975602909,0,0.0,0.0,0.020914643689596637,0.9997812649171504,0.0,0.0,0.0,0,0,0.0
0,-0.004326444764267745,-0.00312379812323105,0,0.0,0.0,0.02010267930148479,0.999797920724434,0.0,0.0,0.0,0,0,0.0
0,-0.006712858233671293,-0.005787079253632536,0,0.0,0.0,0.01933016633678785,0.9998131548791465,0.0,0.0,0.0,0,0,0.0
0,-0.009530065549348377,-0.008938709703407969,0,0.0,0.0,0.01839193620725079,0.9998308540360956,0.0,0.0,0.0,0,0,0.0
0,-0.012800138423797042,-0.012633043020326718,0,0.0,0.0,0.017347588778141788,0.9998495192595657,0.0,0.0,0.0,0,0,0.0
0,-0.01639141942995495,-0.01690611838898964,0,0.0,0.0,0.01610367204827051,0.9998703274657978,0.0,0.0,0.0,0,0,0.0
0,-0.020155193178822167,-0.0215222200807728,0,0.0,0.0,0.01460366515992736,0.9998933607959885,0.0,0.0,0.0,0,0,0.0
0,-0.024128451525762817,-0.026131744228435217,0,0.0,0.0,0.01307188175592507,0.9999145593036233,0.0,0.0,0.0,0,0,0.0
0,-0.027989298434675597,-0.030848183805526626,0,0.0,0.0,0.010760206076877759,0.9999421073068095,0.0,0.0,0.0,0,0,0.0
0,-0.031786830228072244,-0.035622487225919236,0,0.0,0.0,0.008133477059592827,0.9999669227284076,0.0,0.0,0.0,0,0,0.0
0,-0.03559518316839805,-0.040399540639948175,0,0.0,0.0,0.005170311994457802,0.999986633847613,0.0,0.0,0.0,0,0,0.0
0,-0.03938973059109435,-0.04519472068870684,0,0.0,0.0,0.001997230387537535,0.9999980055334006,0.0,0.0,0.0,0,0,0.0
0,-0.04319580047452956,-0.05001019308451108,0,0.0,0.0,-0.0014742871731077143,0.9999989132380751,0.0,0.0,0.0,0,0,0.0
0,-0.04701748382642207,-0.05483929733746285,0,0.0,0.0,-0.005270765243580435,0.9999861094203994,0.0,0.0,0.0,0,0,0.0
0,-0.05083805422142951,-0.059734746317405725,0,0.0,0.0,-0.009365166244725451,0.9999561458690119,0.0,0.0,0.0,0,0,0.0
0,-0.05467576855265541,-0.06466543431196982,0,0.0,0.0,-0.01379681218660575,0.9999048194570759,0.0,0.0,0.0,0,0,0.0
0,-0.05853524887684369,-0.06959157889987255,0,0.0,0.0,-0.01847459493665237,0.999829330106857,0.0,0.0,0.0,0,0,0.0
0,-0.06238614339739537,-0.07454258291672847,0,0.0,0.0,-0.023400650371991266,0.9997261672889071,0.0,0.0,0.0,0,0,0.0
0,-0.06624308360513276,-0.07957647347909506,0,0.0,0.0,-0.028693073884685213,0.9995882689943135,0.0,0.0,0.0,0,0,0.0
0,-0.07002716840652136,-0.08469421552395212,0,0.0,0.0,-0.034283362766328915,0.9994121527365136,0.0,0.0,0.0,0,0,0.0
0,-0.07377651458539641,-0.0898817782953134,0,0.0,0.0,-0.04017039432804571,0.9991928439593277,0.0,0.0,0.0,0,0,0.0
0,-0.07755048037537404,-0.09509138306292005,0,0.0,0.0,-0.046192975251245265,0.9989325347777185,0.0,0.0,0.0,0,0,0.0
0,-0.08136821241561669,-0.10035580518834783,0,0.0,0.0,-0.052540809077062565,0.9986187778033856,0.0,0.0,0.0,0,0,0.0
0,-0.0852110379285276,-0.10563989646004385,0,0.0,0.0,-0.059049205009658,0.9982550733092858,0.0,0.0,0.0,0,0,0.0
0,-0.08904988435487869,-0.11094313136988265,0,0.0,0.0,-0.06569518084496612,0.9978397382414409,0.0,0.0,0.0,0,0,0.0
0,-0.09291073877668896,-0.11627221963523493,0,0.0,0.0,-0.07239002791752817,0.997376400291334,0.0,0.0,0.0,0,0,0.0
0,-0.09680534480753232,-0.12159291886502355,0,0.0,0.0,-0.07912429870464054,0.9968647578054401,0.0,0.0,0.0,0,0,0.0
0,-0.10071862093150771,-0.12691379978788908,0,0.0,0.0,-0.0858877618270398,0.99630481900287,0.0,0.0,0.0,0,0,0.0
0,-0.10468787061637766,-0.13221197421616648,0,0.0,0.0,-0.0926818464962408,0.9956957744863876,0.0,0.0,0.0,0,0,0.0
0,-0.10871788163590004,-0.13747271240892023,0,0.0,0.0,-0.09953882260053545,0.9950336792266377,0.0,0.0,0.0,0,0,0.0
0,-0.11282155134315873,-0.14268941310559147,0,0.0,0.0,-0.10640982860046916,0.9943223563700149,0.0,0.0,0.0,0,0,0.0
0,-0.11697946542062176,-0.14785928638677154,0,0.0,0.0,-0.11330636429732077,0.9935600977342653,0.0,0.0,0.0,0,0,0.0
0,-0.12120107782271396,-0.15299363510658467,0,0.0,0.0,-0.12024091330431645,0.9927447419995453,0.0,0.0,0.0,0,0,0.0
0,-0.12551303192375515,-0.15808489695452482,0,0.0,0.0,-0.12734303866547445,0.9918587351550842,0.0,0.0,0.0,0,0,0.0
0,-0.12984609939996614,-0.1631483483043619,0,0.0,0.0,-0.1345182170026841,0.9909111207845125,0.0,0.0,0.0,0,0,0.0
0,-0.13419164352604365,-0.168201309266972,0,0.0,0.0,-0.14172294006929118,0.989906363378939,0.0,0.0,0.0,0,0,0.0
0,-0.13857466885141567,-0.1732267941612124,0,0.0,0.0,-0.14900614106467774,0.9888362705347197,0.0,0.0,0.0,0,0,0.0
