index,theta,x,y,sin,cos
0,102.84,2.48,2.01,-0.9749944467,0.2222292263
1,161.04,2.49,1.66,-0.3249079787,0.9457456346
2,131.88,2.46,1.33,-0.7445446184,0.667572701
3,-179.43,2.71,1.18,0.0099482126,0.9999505153
4,-172.57,2.94,1.17,0.1293148167,0.9916035892
5,-168.6,3.16,1.1,0.1976573404,0.9802711746
6,-151.37,3.2,1.46,0.4791515031,0.8777322126
7,-171.72,2.85,1.31,0.1440107826,0.9895761186
8,174.19,2.48,1.53,-0.1012299351,0.994863056
9,172.2,2.75,1.68,-0.1357155724,0.9907478405
10,176.17,2.97,1.86,-0.0667963389,0.9977666306
11,171.85,2.82,2.03,-0.1417651368,0.9899003212
12,94.59,2.88,2.19,-0.9967928606,0.0800249524
13,152.41,3.04,2.16,-0.4631413564,0.8862844261
14,72.74,3.19,1.61,-0.9549681736,-0.2967082529
15,-155.98,1.7,2.81,0.4070555058,0.9134034241
16,-162,1.79,2.82,0.3090169944,0.9510565163
17,-156.58,2.07,2.79,0.3974682232,0.917615939
18,-153.46,2.23,2.75,0.4468224864,0.8946226387
19,-150.91,2.37,2.73,0.486182871,0.8738570913
20,-172.67,2.21,2.98,0.1275839459,0.9918277758
21,-172.68,2,2.98,0.1274108373,0.9918500282
22,-166.69,1.86,3.02,0.2302195854,0.9731387067
23,-167.54,1.65,3.01,0.2157579781,0.9764468725
24,-176.39,1.68,3.18,0.0629647071,0.9980157542
25,-168.58,1.95,3.16,0.1979995075,0.9802021195
26,-175.46,2.14,3.16,0.0791550561,0.996862316
27,-179.17,2.28,3.17,0.0144857261,0.9998950764
28,-176.63,2.47,3.1,0.0587836883,0.9982707438
29,-165.9,2.12,3.01,0.2436150118,0.9698720153
30,-129.89,2.19,3.86,0.7672770942,0.6413157262
31,-120.45,2.39,3.88,0.8620717431,0.5067862565
32,-116.16,2.59,3.98,0.8975663802,0.4408793407
33,-106.12,2.65,4.12,0.9606822946,0.2776500116
34,-127.28,2.51,4.27,0.7956849622,0.6057106907
35,-147.02,2.33,4.28,0.5443462506,0.8388606317
36,-158.72,2.34,4.51,0.3629259868,0.9318179694
37,174.86,2.23,4.76,-0.089589643,0.9959787628
38,153.9,2.43,4.88,-0.4399391699,0.8980275758
39,148.27,2.6,4.92,-0.5259170627,0.8505358565
40,126.36,2.68,5.26,-0.8053078857,0.5928568202
41,148.01,2.48,5.12,-0.5297712438,0.8481405716
42,172.23,2.39,4.97,-0.1351967995,0.9908187652
43,-140.24,2.44,4.33,0.6395731805,0.7687302172
44,-95.49,2.44,4,0.9954129114,0.0956720217
45,-39.12,1.88,4.71,0.6309466603,-0.7758262124
