index,theta,x,y,sin,cos
0,157.06,5.52,-0.43,-0.389766964,0.9209135213
1,175.61,5.98,-0.45,-0.0765450084,0.997066127
2,146.34,6.17,-0.45,-0.5542634787,0.8323412738
3,153.44,6.37,-0.49,-0.4471347414,0.8944666137
4,80.95,6.57,-0.46,-0.9875514497,-0.157296326
5,83.33,6.65,-0.82,-0.993231602,-0.1161506982
6,81.41,6.57,-1.17,-0.9887824648,-0.1493627706
7,177.6,6.15,-1.07,-0.0418756537,0.9991228301
8,172.73,3.22,-0.82,-0.1265452365,0.9919608375
9,168.98,5.92,-0.8,-0.1911516363,0.9815605187
10,176.39,5.57,-0.82,-0.0629647071,0.9980157542
11,126.93,5.71,-1.47,-0.7993701696,0.6008388569
12,-164.28,5.96,-1.8,0.2709364723,0.9625972304
13,-172.83,5.9,-1.43,0.1248137464,0.9921801896
14,-172.8,6.4,-1.49,0.1253332336,0.9921147013
15,58.42,6.61,-2.9,-0.8519097878,-0.5236885653
16,50.74,6.59,-3.09,-0.7742822044,-0.6328404759
17,47.37,6.6,-3.25,-0.7357425748,-0.6772612964
18,30.23,6.56,-3.37,-0.5034724109,-0.8640113029
19,63.86,6.13,-3.27,-0.8977202215,-0.4405660041
20,77.81,6.26,-3.09,-0.9774527625,-0.211154202
21,74.74,6.23,-2.93,-0.9647414015,-0.2631995976
22,72.5,6.21,-3.11,-0.9537169507,-0.3007057995
23,69.69,6.2,-3.24,-0.9378283686,-0.3470993388
24,105.19,5.87,-3.33,-0.9650622404,0.2620207475
25,92.05,5.83,-3.13,-0.9993599909,0.0357716163
26,80.63,5.85,-2.92,-0.9866575436,-0.1628093719
27,87.89,5.66,-2.97,-0.999321983,-0.0368181239
28,101.76,5.49,-3.09,-0.9790099154,0.2038126237
29,108.4,5.55,-3.26,-0.9488760116,0.3156490369
30,31.04,3.25,-3,-0.515636365,-0.8568075274
31,19.41,3.03,-3.09,-0.3323257502,-0.9431646705
32,31.24,2.84,-3.09,-0.51862404,-0.8550024007
33,39.93,3.1,-2.84,-0.6418512304,-0.7668291844
34,45.11,3.14,-2.72,-0.7084630248,-0.7057479313
35,51.03,3.02,-2.57,-0.7774753663,-0.6289133921
36,74.63,2.84,-2.65,-0.9642343169,-0.2650512819
37,57.55,2.93,-2.86,-0.843860007,-0.536563406
38,40.17,2.9,-3.02,-0.6450576766,-0.7641338848
39,20.37,2.75,-3.11,-0.3480812399,-0.9374643729
40,65.57,2.56,-2.82,-0.910467235,-0.413581206
41,75.67,2.5,-2.71,-0.9688862702,-0.2475063543
42,88.06,2.45,-2.83,-0.9994268257,-0.0338529181
43,96.78,2.5,-3.02,-0.9930067784,0.1180573508
44,109.71,2.25,-2.98,-0.9414116963,0.3372595709
45,58.08,1.05,-2.34,-0.8487871761,-0.5287346495
46,62.45,1.03,-2.57,-0.8866075438,-0.4625225003
47,56.26,1.09,-2.78,-0.8315665649,-0.5554251057
48,44.63,1.05,-2.98,-0.7025257727,-0.7116583019
49,32.7,1.04,-3.25,-0.5402403205,-0.8415107819
50,49.68,0.9,-3.28,-0.762442511,-0.6470559616
51,61.91,0.68,-3.15,-0.8822090597,-0.4708579139
52,50.57,0.77,-2.89,-0.7724011235,-0.6351350285
53,56.06,0.86,-2.61,-0.8296227033,-0.5583244309
54,56.08,0.89,-2.45,-0.8298175448,-0.5580348039
55,69.12,0.58,-2.56,-0.9343289425,-0.3564118787
56,85.73,0.24,-2.55,-0.9972242556,-0.0744565917
57,98.69,0.2,-2.84,-0.9885202717,0.1510882932
58,101.64,0.22,-3.09,-0.979434632,0.2017617446
59,83.19,0.45,-2.85,-0.9929448276,-0.1185772717
60,24.32,-0.54,3.19,-0.4118324733,-0.9112595755
61,14.12,-0.59,-3.42,-0.2439535461,-0.9697869185
62,24.29,-0.94,-3.37,-0.4113552825,-0.9114750856
63,23.3,-1.25,-3.31,-0.3955455026,-0.9184463813
64,66.18,-1.36,-3.18,-0.9148187482,-0.4038646529
65,95.75,-1.33,-2.91,-0.9949685183,0.1001880616
66,65.23,-1.35,-2.58,-0.9079969787,-0.4189767138
67,71.6,-1.13,-2.61,-0.9488760116,-0.3156490369
68,52.13,-1.77,-2.7,-0.7894056156,-0.6138719525
69,146.09,-2.24,-2.74,-0.557889965,0.8299149276
70,106.82,-2.51,-2.61,-0.9572185481,0.2893659469
71,96.07,-2.58,-3.06,-0.9943934476,0.1057434227
72,164.89,-2.42,-3.32,-0.2606730114,0.9654271496
73,121.59,-2.04,-3.08,-0.851818374,0.5238372436
74,172.5,-1.67,-3.01,-0.1305261922,0.9914448614
75,63.79,-4.04,-2.39,-0.8971812987,-0.4416624472
76,55.07,-4.2,-2.38,-0.8198521886,-0.5725752255
77,73.05,-4.41,-2.4,-0.9565595342,-0.2915370602
78,58.09,-4.64,-2.44,-0.8488794448,-0.5285865002
79,98.67,-4.99,-2.54,-0.9885729513,0.1507432253
80,101.66,-5.11,-2.82,-0.9793641442,0.2021036195
81,125.79,-5.04,-3.12,-0.811165901,0.5848161087
82,135.62,-5.11,-3.31,-0.6994138999,0.7147168647
83,126.76,-5.32,-3.35,-0.8011493731,0.5984644366
84,131.61,-5.62,-3.18,-0.7476822021,0.6640567179
85,140.46,-5.48,-3.34,-0.6366167608,0.771180329
86,140.78,-5.68,-3.43,-0.6322997708,0.7747238217
87,149.88,-5.45,-3.17,-0.5018127014,0.8649763076
88,120,-5.33,-2.95,-0.8660254038,0.5
89,68.84,-4.26,-2.57,-0.9325760356,-0.3609735972
90,-53.21,-4.68,-1.03,0.8008359081,-0.5988838354
91,-34.2,-4.69,-0.61,0.5620833779,-0.8270805743
92,-25.51,-4.79,-0.05,0.4306686211,-0.9025101322
93,114.84,-4.94,0.35,-0.9074844245,0.4200857284
94,141.73,-5.38,0.22,-0.6193680389,0.7851007785
95,135.66,-5.73,0.27,-0.698914763,0.7152049735
96,12.81,-5.99,0.24,-0.2217186899,-0.9751106719
97,153.57,-6.22,0.1,-0.4451041118,0.895478827
98,164.84,-6.18,-0.38,-0.2615154062,0.9651993019
